ID,X,Y,Z
71082,0.639364,0.822742,6.2493
71081,0.60818,0.298255,6.41327
71080,0.643773,1.81957,5.93753
71079,0.636127,1.73746,5.96335
71078,0.643613,1.72078,5.95981
71077,0.643613,1.72078,5.95981
71076,0.636743,1.65225,5.97881
71075,0.632009,1.58383,5.99946
71074,0.598757,0.922469,6.21263
71073,0.63239,1.71634,5.99627
71072,1.31094,0.588669,3.39988
71071,0.979412,0.195222,3.75382
71069,1.00902,-0.379751,3.69454
71066,0.883871,-0.195867,4.87987
71065,1.04026,1.84583,6.00335
71064,0.783566,1.06502,5.19215
71063,0.329199,0.834542,4.09681
71062,0.771783,1.33585,5.41654
71061,0.760672,1.33,5.4808
71060,0.919348,0.382244,4.36237
71059,0.750044,0.350017,5.5489
71058,0.738004,0.00681529,5.61039
71057,0.756355,1.32429,5.53124
71056,0.837175,0.816742,4.66135
71055,0.740996,1.0283,5.52324
71054,0.697769,0.263921,5.74549
71053,0.720336,0.0744963,5.83372
71052,0.67881,0.200864,5.7803
71051,0.874645,1.71514,6.01995
71049,0.688055,1.16851,5.79804
71047,0.661184,0.3813,6.21012
71046,0.629229,0.385396,6.38959
71045,0.632706,0.667478,6.29714
71044,0.585668,0.325387,6.40135
71043,0.66876,1.79863,5.94699
71042,0.630731,1.39994,6.0718
71041,0.595283,0.870889,6.22823
71021,-0.69725,-3.2473,5.51634
71014,-1.8937,-8.74124,0.0382991
71009,0.183711,-1.61972,4.87231
71006,-1.30466,-4.95445,4.88891
71001,-1.46445,0.0249089,2.46696
70999,0.94651,0.808855,3.97346
70998,0.977159,0.797395,3.84244
70997,0.694234,1.60293,5.65275
70996,2.42975,1.14946,4.62608
70995,0.832521,1.38697,4.83012
70994,0.752704,1.36667,5.61587
70993,0.747462,1.30908,5.58858
70992,0.670123,0.66655,5.95614
70991,1.43802,-0.256733,0.180607
70990,0.937204,0.98343,4.25348
70988,0.937711,1.02858,4.32148
70987,0.866467,1.22671,4.71161
70986,0.844371,1.3317,4.80546
70985,0.81256,1.1488,5.17391
70983,0.798076,1.26051,5.24524
70982,0.768898,1.35224,5.44198
70981,0.761684,1.32472,5.49866
70980,-0.200701,-0.533231,4.90667
70979,0.945955,0.194975,3.92766
70978,0.627542,0.375886,6.04422
70977,0.607809,1.20319,5.73208
70976,-7.42162,-15.604,-0.765713
70974,0.676739,0.324012,6.37065
70973,0.681889,0.912012,6.19551
70972,0.633744,0.372805,6.39008
70971,0.694932,1.3864,6.05573
70970,0.51876,0.277172,6.42559
70969,0.987045,-0.526371,3.82248
70968,0.938887,1.00674,4.16773
70966,0.933218,0.891533,4.27172
70965,0.96621,-0.444744,3.77924
70964,0.456581,-2.2563,1.58454
70963,0.851372,1.30745,4.82021
70962,0.837072,1.14836,4.94783
70960,0.794361,0.825575,5.26551
70959,0.774735,0.0404181,5.41234
70957,0.786467,1.39345,5.2776
70956,1.05553,0.86256,3.65346
70955,0.600582,-0.773366,4.94625
70954,0.727803,0.0575331,5.7229
70953,-0.419758,-3.09098,4.07585
70950,0.799682,0.410085,4.79956
70949,0.711316,0.111654,5.87586
70948,0.729579,0.961578,5.73699
70947,0.740281,1.42771,5.67394
